isin,as_of,mix
INE020B08DV3,30/06/2026,"MF 54%, Insurance 18%, PF/Pension 6.4%, Corporates 6%, Trusts 5.1%, Govt 5%, others 5.1%"
INE020B08EA5,30/06/2026,"MF 72%, Insurance 11%, Banks 7.6%, Trusts 5%, PF/Pension 3%, Corporates 1.2%"
INE020B08EB3,30/06/2026,"Govt 56%, PF/Pension 15%, Trusts 13%, Insurance 8.8%, Corporates 6.8%"
INE020B08EE7,30/06/2026,"Insurance 38%, Govt 19%, Trusts 13%, PF/Pension 10%, MF 8%, Banks 7.5%, others 4.2%"
INE020B08EG2,30/06/2026,"Insurance 39%, MF 31%, PF/Pension 25%, Trusts 2.5%, FPI 1.9%, Individuals 0.3%"
INE020B08EH0,30/06/2026,"MF 54%, Insurance 20%, Banks 11%, PF/Pension 6%, Trusts 5.5%, FPI 3%, others 1%"
INE020B08EK4,30/06/2026,"Insurance 25%, MF 24%, Corporates 16%, Banks 15%, PF/Pension 9%, Govt 7.2%, others 4.5%"
INE020B08EP3,30/06/2026,"MF 47%, Insurance 22%, Banks 21%, Corporates 9.2%, Individuals 0.2%"
INE020B08EQ1,30/06/2026,"Insurance 51%, Corporates 26%, PF/Pension 11%, Trusts 8.5%, MF 2.3%, Banks 0.9%"
INE020B08EW9,30/06/2026,"MF 68%, Insurance 27%, Banks 3.5%, Corporates 1.4%"
INE020B08EX7,30/06/2026,"Govt 31%, MF 27%, Insurance 21%, Banks 19%, Corporates 0.9%"
INE020B08EY5,30/06/2026,"Insurance 50%, Govt 45%, Corporates 4%, MF 1%, Trusts 0.6%"
INE020B08EZ2,30/06/2026,"Insurance 77%, Govt 12%, Trusts 4%, Corporates 4%, MF 1.7%, PF/Pension 1.7%"
INE020B08FA2,30/06/2026,"MF 50%, Insurance 26%, Banks 16%, Govt 6.2%, Corporates 0.8%, Trusts 0.2%, others 0.1%"
INE020B08FB0,30/06/2026,"Insurance 62%, Corporates 19%, MF 8.3%, PF/Pension 7.8%, Trusts 2.4%"
INE020B08FC8,30/06/2026,"MF 66%, Insurance 15%, Corporates 12%, Banks 6.8%"
INE020B08FD6,30/06/2026,"Insurance 33%, MF 32%, PF/Pension 13%, Corporates 8%, Govt 5.5%, Banks 5.2%, others 3%"
INE020B08FE4,30/06/2026,"Insurance 90%, MF 5.7%, PF/Pension 3.1%, Corporates 0.8%, Banks 0.6%, Trusts 0.2%, others 0.1%"
INE020B08FF1,30/06/2026,"MF 67%, Insurance 18%, Banks 7.4%, Govt 3.5%, Trusts 2.9%, Corporates 0.8%"
INE020B08FG9,30/06/2026,"Insurance 58%, PF/Pension 19%, Corporates 10%, Trusts 8%, MF 1.7%, FPI 1.7%, others 1.8%"
INE020B08FH7,30/06/2026,"MF 52%, Insurance 24%, Banks 20%, Corporates 3.8%"
INE020B08FJ3,30/06/2026,"Corporates 60%, Individuals 21%, MF 8%, Govt 7.2%, FPI 1.8%, AIF 1.6%, others 0.2%"
INE020B08FL9,30/06/2026,"MF 23%, Govt 23%, PF/Pension 21%, Banks 16%, Insurance 15%, Corporates 1.7%, others 0.3%"
INE020B08FQ8,30/06/2026,"Govt 47%, Insurance 36%, Trusts 5.9%, MF 4.5%, Corporates 4%, PF/Pension 2.7%"
INE020B08FR6,30/06/2026,"MF 47%, Banks 26%, Insurance 24%, Govt 3.3%"
INE020B08FU0,30/06/2026,"MF 35%, PF/Pension 28%, Banks 21%, Insurance 6.5%, Corporates 5.8%, FPI 2.3%, others 2.1%"
INE020B08FW6,30/06/2026,"MF 62%, Banks 24%, Insurance 11%, FPI 3.3%"
INE020B08FX4,30/06/2026,"Banks 51%, MF 26%, Insurance 18%, Corporates 5.8%"
INE020B08FY2,30/06/2026,"MF 37%, Insurance 34%, Banks 17%, PF/Pension 12%, Trusts 0.1%"
INE020B08FZ9,30/06/2026,"MF 62%, Banks 17%, Insurance 12%, Corporates 7.5%, FPI 1.2%"
INE020B08GA0,30/06/2026,"Insurance 43%, Govt 35%, Trusts 10%, Banks 5.9%, PF/Pension 5.8%, MF 0.5%"
INE020B08GB8,30/06/2026,"MF 43%, Insurance 26%, NBFC 17%, FPI 6.5%, Banks 4.4%, Corporates 2.6%"
INE020B08GC6,30/06/2026,"Govt 97%, Insurance 2.5%, Corporates 0.8%, Trusts 0.1%"
INE020B08GD4,30/06/2026,"MF 49%, Banks 24%, Corporates 20%, Insurance 7.2%"
INE020B08GE2,30/06/2026,"Govt 87%, Insurance 6.8%, Corporates 1.9%, PF/Pension 1.6%, MF 1.2%, Banks 1.1%, others 0.8%"
INE020B08GF9,30/06/2026,"Banks 89%, Corporates 7.9%, Govt 2.5%, Insurance 0.9%"
INE028A08299,30/06/2026,"PF/Pension 36%, Trusts 25%, Corporates 19%, Other FIs 8.1%, Insurance 6.3%, Banks 3.4%, others 2.4%"
INE028A08315,30/06/2026,"PF/Pension 37%, Trusts 27%, Govt 15%, MF 12%, Banks 7.8%, Insurance 0.8%, others 0.4%"
INE028A08364,30/06/2026,"Govt 41%, PF/Pension 20%, Trusts 18%, Insurance 14%, Banks 2.9%, Corporates 2.7%, others 1.3%"
