isin,as_of,mix
INE0KUG08159,30/06/2026,"Insurance 44%, Trusts 19%, PF/Pension 17%, Govt 8%, MF 6%, Banks 4%, others 1.6%"
INE0KXY07034,30/06/2026,MF 100%
INE0KXY07059,30/06/2026,MF 100%
INE0L6807179,30/06/2026,"Corporates 73%, Individuals 27%"
INE0L6807187,30/06/2026,"Corporates 51%, Individuals 49%, Clearing members 0.4%, Trusts 0.3%"
INE0L6807211,30/06/2026,"Corporates 71%, Individuals 28%, Trusts 0.7%"
INE0L6807237,30/06/2026,"Corporates 63%, Individuals 37%"
INE0L6807245,30/06/2026,"Corporates 60%, Individuals 20%, AIF 18%, Trusts 1.4%"
INE0L6807260,30/06/2026,"Corporates 43%, Individuals 29%, AIF 28%"
INE0L6807328,30/06/2026,"Corporates 76%, Individuals 24%, Trusts 0.6%"
INE0LN107071,30/06/2026,"Individuals 91%, Corporates 9.3%"
INE0LN107089,30/06/2026,"Corporates 83%, Individuals 17%"
INE0LR407022,30/06/2026,"FPI 95%, Corporates 5%"
INE0M2307065,30/06/2026,"Govt 54%, Trusts 34%, Individuals 8.7%, Corporates 1.8%, Insurance 0.8%, NRIs 0.2%, others 0.1%"
INE0M2307081,30/06/2026,"Govt 54%, Trusts 30%, Individuals 7.9%, Corporates 6.9%, Insurance 0.8%, Banks 0.3%, others 0.2%"
INE0M2307321,30/06/2026,"MF 39%, Corporates 18%, Individuals 13%, Trusts 12%, Banks 11%, Insurance 7.3%, others 0.1%"
INE0M2307339,30/06/2026,"Trusts 28%, Banks 28%, Corporates 25%, Individuals 12%, Insurance 7.3%, NRIs 0.2%"
INE0M2307347,30/06/2026,"Govt 51%, Trusts 20%, Corporates 14%, Insurance 7.3%, Individuals 5.2%, Banks 2.4%, others 0.1%"
INE0M2307354,30/06/2026,"MF 31%, Trusts 27%, Corporates 16%, Individuals 10%, Banks 8.8%, Insurance 7.4%, others 0.1%"
INE0M2307362,30/06/2026,"MF 37%, Corporates 28%, Banks 11%, Individuals 9.4%, Trusts 7.5%, Insurance 7.3%, others 0.6%"
INE0M2307370,30/06/2026,"MF 36%, Corporates 17%, Trusts 16%, Individuals 9.2%, PF/Pension 9.1%, Insurance 7.3%, others 6.1%"
INE0M2307388,30/06/2026,"Corporates 39%, Trusts 29%, Individuals 15%, Banks 11%, Insurance 7.3%, NRIs 0.2%"
INE0M2307396,30/06/2026,"Govt 55%, Trusts 18%, Corporates 10%, Individuals 8.6%, Insurance 7.3%, NRIs 0.9%, others 0.5%"
INE0M2307404,30/06/2026,"Govt 55%, Trusts 19%, Corporates 10%, Insurance 7.3%, Individuals 6.3%, Banks 2.7%"
INE0M2307412,30/06/2026,"Govt 54%, Trusts 21%, Corporates 10%, Insurance 7.3%, Individuals 6.8%, NRIs 0.8%"
INE0M8D08016,30/06/2026,"MF 91%, Corporates 8.6%"
INE0MHC07633,30/06/2026,"Corporates 67%, Individuals 31%, NBFC 1.3%"
INE0MHC07690,30/06/2026,"Corporates 58%, Individuals 29%, FPI 7.9%, AIF 4.8%"
INE0MHC07716,30/06/2026,"AIF 54%, Corporates 42%, Individuals 3.8%"
INE0MHC07724,30/06/2026,"Corporates 55%, Individuals 24%, AIF 21%"
INE0MHC07732,30/06/2026,"NBFC 67%, Corporates 24%, AIF 8.9%"
INE0MIZ07038,30/06/2026,"MF 43%, AIF 43%, Corporates 14%"
INE0MT207015,30/06/2026,MF 100%
INE0MYJ07161,30/06/2026,"Individuals 45%, Corporates 35%, AIF 20%"
INE0MYJ07179,30/06/2026,"Individuals 93%, Corporates 7.1%"
INE0MYJ07187,30/06/2026,"Corporates 64%, Individuals 36%, NRIs 0.4%"
INE0N1Z07015,30/06/2026,MF 100%
INE0N5S07052,30/06/2026,"Corporates 66%, Individuals 34%"
INE0NDH07027,30/06/2026,"Insurance 68%, MF 32%"
INE0NDH07035,30/06/2026,"MF 94%, Insurance 6.2%"
INE0NDH07043,30/06/2026,MF 100%
INE0NDH07050,30/06/2026,MF 100%
INE0NDH07068,30/06/2026,"MF 90%, FPI 10%"
INE0NES07139,30/06/2026,"Corporates 60%, Individuals 40%, NRIs 0.3%, Trusts 0.1%"
INE0NES07147,30/06/2026,"Corporates 32%, MF 28%, Individuals 21%, AIF 11%, Trusts 8.4%, Clearing members 0.2%, others 0.1%"
INE0NES07162,30/06/2026,"Individuals 74%, Corporates 25%, NRIs 0.5%, AIF 0.5%"
INE0NES07188,30/06/2026,"Individuals 91%, Corporates 8.4%, NRIs 0.2%"
INE0NES07220,30/06/2026,"Individuals 51%, Corporates 49%, Trusts 0.6%"
INE0NES07261,30/06/2026,"Individuals 76%, Corporates 23%, NRIs 1.1%"
INE0NES07287,30/06/2026,"Individuals 53%, Corporates 33%, AIF 10%, NBFC 3.4%, NRIs 0.3%"
INE0NES07303,30/06/2026,"Corporates 55%, Clearing members 29%, Individuals 12%, NBFC 4.6%"
INE0NES07329,30/06/2026,"Individuals 68%, Corporates 26%, AIF 4.7%, MF 1.3%, NRIs 0.2%, Clearing members 0.1%"
INE0NES07345,30/06/2026,"Corporates 63%, Individuals 22%, NBFC 14%"
INE0NR607058,30/06/2026,"MF 93%, Insurance 7.2%"
INE0NR607074,30/06/2026,"MF 52%, Banks 36%, Insurance 12%"
INE0OAD07020,30/06/2026,"Corporates 54%, Clearing members 25%, NBFC 21%"
INE0OJ007027,30/06/2026,"Corporates 98%, Individuals 1.5%"
INE0OJ808028,30/06/2026,MF 100%
INE0ONG08016,30/06/2026,"Govt 72%, Insurance 13%, PF/Pension 8.3%, MF 6%"
INE0OOQ07791,30/06/2026,"Corporates 70%, Individuals 21%, AIF 8%, Clearing members 0.8%"
INE0OOQ07825,30/06/2026,"Corporates 63%, Individuals 33%, AIF 3.3%, NBFC 0.7%"
INE0OWY07087,30/06/2026,"Individuals 53%, Corporates 46%, NRIs 0.8%"
INE0P3M07025,30/06/2026,"Corporates 69%, Individuals 31%, NRIs 0.3%"
INE0P3M07033,30/06/2026,"Corporates 74%, Individuals 23%, AIF 3%"
INE0P3M07041,30/06/2026,"Corporates 83%, Individuals 17%"
INE0PM707190,30/06/2026,"Corporates 73%, Individuals 27%"
INE0PM707448,30/06/2026,"Corporates 48%, Individuals 34%, AIF 18%"
INE0PM707539,30/06/2026,"Corporates 64%, Individuals 26%, AIF 11%"
INE0PM707562,30/06/2026,"Corporates 55%, Individuals 45%"
INE0PM707596,30/06/2026,"Corporates 79%, Individuals 21%"
INE0QGP07190,30/06/2026,"Corporates 90%, Individuals 10%"
INE0QGP07216,30/06/2026,Corporates 100%
INE0QGP07240,30/06/2026,Corporates 100%
INE0R8O07036,30/06/2026,MF 100%
INE0REQ08017,30/06/2026,MF 100%
INE0REQ08025,30/06/2026,MF 100%
INE0S3L07099,30/06/2026,Corporates 100%
INE0S8E07028,30/06/2026,"Corporates 100%, Individuals 0.3%"
INE0TLC07044,30/06/2026,"Trusts 47%, Corporates 28%, Individuals 14%, Govt 10%, Banks 0.3%, Clearing members 0.2%, others 0.1%"
INE0TLC07069,30/06/2026,"Trusts 48%, Corporates 34%, Individuals 10%, Banks 7.6%, NRIs 0.1%"
INE0TLC07077,30/06/2026,"Trusts 32%, Banks 25%, Corporates 24%, Individuals 15%, Insurance 2.6%, NRIs 0.4%, others 0.1%"
INE0TLC07085,30/06/2026,"Corporates 38%, Banks 25%, Trusts 13%, Individuals 11%, Govt 10%, MF 2.2%, others 0.1%"
INE0TLC07093,30/06/2026,"Corporates 35%, Banks 29%, Trusts 20%, Individuals 13%, Govt 2.2%, Other FIs 1%, others 0.1%"
INE0TQI07024,30/06/2026,"Corporates 83%, Individuals 17%"
INE0U9A07012,30/06/2026,"FPI 96%, Corporates 2.2%, AIF 1.7%, Individuals 0.4%"
INE0WEL07051,30/06/2026,"Corporates 76%, AIF 20%, Individuals 3.8%"
INE0XK707143,30/06/2026,"Corporates 52%, Individuals 47%, NRIs 0.5%"
INE0XK707200,30/06/2026,"AIF 97%, Individuals 3.3%"
INE0YRB07019,30/06/2026,"Corporates 97%, Trusts 2.5%"
INE0YRB07035,30/06/2026,"Corporates 53%, Trusts 47%"
INE0YRB07050,30/06/2026,MF 100%
INE0YRB07068,30/06/2026,MF 100%
INE0YRB07076,30/06/2026,MF 100%
INE0YTY07033,30/06/2026,"AIF 83%, Corporates 17%"
INE0YTY07041,30/06/2026,"Corporates 94%, Individuals 5.7%"
INE0Z4807015,30/06/2026,"Corporates 53%, Individuals 33%, AIF 10%, FPI 2.8%, NBFC 1.7%, NRIs 0.2%, others 0.1%"
INE101A08088,30/06/2026,"Insurance 29%, MF 26%, Banks 23%, PF/Pension 21%"
INE101Q07AZ8,30/06/2026,"Individuals 70%, Trusts 15%, Corporates 14%, NRIs 0.6%"
INE101Q07BR3,30/06/2026,"Individuals 84%, Corporates 12%, NBFC 2.2%, NRIs 1.5%"
INE101Q07BS1,30/06/2026,"Individuals 82%, Corporates 12%, Trusts 3.4%, NRIs 1.5%, Clearing members 0.9%, NBFC 0.3%"
INE101Q07BU7,30/06/2026,"Individuals 82%, Corporates 17%, Trusts 1.6%"
INE101Q07BV5,30/06/2026,"Trusts 40%, Corporates 36%, MF 24%"
INE101Q07BW3,30/06/2026,"Individuals 81%, Corporates 16%, NRIs 2.1%, Trusts 0.1%"
INE101Q07BX1,30/06/2026,"Individuals 37%, Corporates 37%, AIF 13%, Insurance 12%, NRIs 0.3%, Trusts 0.1%"
INE101Q07BY9,30/06/2026,"Corporates 40%, Individuals 32%, MF 27%, AIF 0.4%, NRIs 0.1%, NBFC 0.1%"
INE101Q07BZ6,30/06/2026,"Individuals 48%, Corporates 47%, Clearing members 4.6%, NRIs 0.8%"
INE101Q07CA7,30/06/2026,"Individuals 56%, Corporates 41%, Clearing members 1.6%, MF 1%, NRIs 0.6%"
INE103C07173,30/06/2026,"Individuals 72%, Corporates 17%, NBFC 10%, NRIs 0.2%"
INE103D08021,30/06/2026,"PF/Pension 34%, Insurance 33%, Banks 13%, Trusts 11%, Corporates 6.5%, MF 1.2%, others 1.1%"
INE103D08039,30/06/2026,"Insurance 46%, Govt 16%, Banks 12%, PF/Pension 12%, Corporates 10%, Trusts 3.6%, others 0.7%"
INE103D08054,30/06/2026,"Insurance 25%, Banks 23%, Trusts 20%, Govt 15%, PF/Pension 8.3%, MF 7.7%"
INE104W07245,30/06/2026,"Corporates 51%, Individuals 49%, NRIs 0.1%"
INE104W07252,30/06/2026,"Corporates 100%, Individuals 0.1%"
INE105A08022,30/06/2026,"MF 92%, Insurance 7.7%"
INE105A08030,30/06/2026,"MF 83%, Insurance 17%"
INE105N07209,30/06/2026,"MF 66%, Corporates 32%, Trusts 2.3%"
INE105N07217,30/06/2026,"Corporates 47%, MF 29%, Trusts 24%"
INE105N07225,30/06/2026,"Trusts 40%, MF 32%, Insurance 27%, Banks 0.7%"
INE109C07139,30/06/2026,"Individuals 87%, Corporates 13%, NRIs 0.2%"
INE109C07147,30/06/2026,"Individuals 56%, Corporates 35%, AIF 5.6%, Clearing members 3.8%, NRIs 0.1%"
INE10A707144,30/06/2026,"Corporates 66%, AIF 33%, Individuals 0.9%"
INE115A07KM9,30/06/2026,"Trusts 30%, Corporates 30%, PF/Pension 25%, MF 10%, Insurance 5%"
INE115A07LO3,30/06/2026,"Insurance 34%, Trusts 26%, MF 21%, PF/Pension 17%, Corporates 1.7%"
INE115A07MC6,30/06/2026,"Insurance 52%, MF 18%, PF/Pension 11%, Trusts 9.3%, Corporates 5.1%, Individuals 5.1%"
INE115A07MQ6,30/06/2026,"MF 38%, Insurance 27%, Banks 12%, Corporates 8%, PF/Pension 7.4%, Trusts 6.7%, others 0.9%"
INE115A07MW4,30/06/2026,"Insurance 48%, MF 19%, Trusts 16%, Corporates 7.2%, Banks 6.2%, PF/Pension 3.8%, others 0.1%"
INE115A07NP6,30/06/2026,"MF 33%, Insurance 24%, Trusts 22%, PF/Pension 13%, Corporates 5.8%, Banks 2.4%, others 0.5%"
INE115A07NU6,30/06/2026,"Insurance 40%, PF/Pension 34%, Trusts 11%, MF 7%, Corporates 6.3%, Banks 1.1%, others 0.4%"
INE115A07OB4,30/06/2026,"Insurance 46%, Trusts 23%, PF/Pension 13%, MF 12%, Corporates 4.7%, Banks 0.9%, others 0.2%"
INE115A07OF5,30/06/2026,"Insurance 52%, Trusts 20%, Corporates 10%, PF/Pension 10%, MF 4.7%, Banks 1.4%, others 0.7%"
INE115A07OR0,30/06/2026,"PF/Pension 45%, Insurance 27%, Trusts 24%, MF 2.5%, Banks 1.4%, Corporates 0.2%, others 0.1%"
INE115A07PI6,30/06/2026,"Insurance 27%, Banks 24%, MF 24%, Corporates 16%, PF/Pension 10%"
INE115A07PN6,30/06/2026,"Insurance 37%, MF 32%, Corporates 27%, Banks 4.1%"
INE115A07PR7,30/06/2026,"MF 35%, Insurance 32%, Banks 21%, FPI 9.3%, Corporates 1.8%"
INE115A07PV9,30/06/2026,"Insurance 58%, MF 18%, Corporates 11%, Trusts 5%, PF/Pension 5%, Banks 2.8%, others 0.5%"
INE115A07PY3,30/06/2026,"Insurance 70%, Trusts 23%, PF/Pension 4.7%, Banks 1%, Corporates 0.6%, Individuals 0.4%, others 0.4%"
INE115A07QC7,30/06/2026,"Insurance 40%, MF 27%, Banks 22%, Corporates 5.8%, Trusts 2.5%, PF/Pension 2.2%"
INE115A07QH6,30/06/2026,"Insurance 75%, Trusts 13%, MF 8.8%, PF/Pension 2.7%, Corporates 0.4%"
INE115A07QI4,30/06/2026,"Insurance 56%, MF 14%, Trusts 11%, PF/Pension 10%, Banks 6.4%, FPI 1%, others 0.6%"
INE115A07QJ2,30/06/2026,"MF 36%, Insurance 30%, Corporates 24%, Trusts 6.1%, PF/Pension 3.3%"
INE115A07QK0,30/06/2026,"Insurance 67%, PF/Pension 11%, Banks 10%, Trusts 8.2%, MF 2.6%, Govt 0.7%, others 0.3%"
INE115A07QL8,30/06/2026,"Insurance 35%, MF 27%, PF/Pension 25%, Trusts 8.2%, Corporates 4%"
INE115A07QM6,30/06/2026,"Banks 59%, Insurance 23%, MF 16%, Trusts 2%, Corporates 0.3%"
INE115A07QN4,30/06/2026,"Insurance 70%, Trusts 14%, PF/Pension 11%, Corporates 3.1%, MF 1.9%, Govt 0.1%"
INE115A07QO2,30/06/2026,"Insurance 33%, MF 22%, Corporates 21%, Banks 17%, Trusts 5.5%, Govt 0.9%, others 0.2%"
INE115A07QP9,30/06/2026,"Insurance 56%, MF 31%, PF/Pension 8.9%, Banks 2.2%, Trusts 1.6%, FPI 0.3%, others 0.2%"
INE115A07QQ7,30/06/2026,"Insurance 45%, Trusts 27%, PF/Pension 12%, Banks 9.3%, MF 6.6%"
INE115A07QR5,30/06/2026,"Insurance 54%, PF/Pension 21%, Trusts 16%, MF 3.8%, Corporates 2%, Govt 1.1%, others 2%"
INE115A07QS3,30/06/2026,"Insurance 51%, MF 21%, Corporates 14%, Banks 8.2%, Trusts 3.3%, PF/Pension 1.9%, others 1%"
INE115A07QT1,30/06/2026,"MF 57%, Insurance 28%, Corporates 14%"
INE115A07QU9,30/06/2026,"Insurance 49%, MF 22%, PF/Pension 12%, Banks 6%, Corporates 5.4%, Trusts 5.1%, others 0.3%"
INE115A07QV7,30/06/2026,"Insurance 47%, PF/Pension 19%, Trusts 19%, MF 7.3%, FPI 4.4%, Banks 3.1%, others 0.3%"
INE115A07QW5,30/06/2026,"MF 47%, Insurance 25%, Corporates 19%, Banks 7.8%, FPI 1.2%, Trusts 0.3%"
INE115A07QX3,30/06/2026,"PF/Pension 42%, MF 28%, Insurance 21%, Banks 6.3%, Corporates 3.1%, FPI 0.6%, others 0.2%"
INE115A07QZ8,30/06/2026,"Insurance 36%, MF 28%, Banks 21%, Corporates 15%"
INE115A07RA9,30/06/2026,"MF 73%, Insurance 24%, Corporates 3.1%"
INE115A07RB7,30/06/2026,"Insurance 64%, PF/Pension 16%, Corporates 7.8%, Trusts 7.5%, MF 2.5%, Banks 2.3%, others 0.4%"
INE115A07RC5,30/06/2026,"Insurance 67%, PF/Pension 19%, MF 5.5%, Corporates 5.5%, Banks 3.3%, FPI 0.4%"
INE115A07RD3,30/06/2026,"Insurance 64%, Banks 9.3%, Trusts 9.2%, PF/Pension 8.1%, MF 4.8%, Corporates 4.3%, others 0.5%"
INE115A07RE1,30/06/2026,"MF 70%, Insurance 20%, Banks 5%, Corporates 5%"
INE115A07RF8,30/06/2026,"MF 73%, PF/Pension 13%, Insurance 11%, FPI 1.8%, Trusts 1.6%, Govt 0.3%"
INE115A07RH4,30/06/2026,"Insurance 45%, MF 21%, Corporates 20%, Banks 14%, Trusts 0.8%"
INE115A07RI2,30/06/2026,"Corporates 51%, PF/Pension 22%, Insurance 18%, Banks 8.7%"
INE115A07RJ0,30/06/2026,"Banks 63%, Corporates 22%, MF 9.3%, Trusts 2.1%, PF/Pension 2.1%, Insurance 1.3%"
INE115A08369,30/06/2026,"PF/Pension 38%, Trusts 33%, Corporates 12%, Insurance 11%, MF 5%, Individuals 1.3%, others 0.5%"
INE115A08377,30/06/2026,"Trusts 38%, Corporates 18%, Insurance 15%, PF/Pension 8.9%, MF 6.7%, Govt 5%, others 8%"
INE118D08045,30/06/2026,"Banks 67%, Individuals 21%, MF 7.4%, Corporates 5.2%, Clearing members 0.1%"
INE118D08078,30/06/2026,"Corporates 44%, MF 35%, Insurance 17%, Banks 4.2%"
INE11BM07016,30/06/2026,"Corporates 62%, AIF 36%, Individuals 2.3%"
INE11G507117,30/06/2026,"Corporates 70%, Individuals 24%, AIF 6.3%"
INE11G507141,30/06/2026,"Corporates 63%, AIF 23%, Individuals 14%"
INE11LM07031,30/06/2026,MF 100%
INE11RT07249,30/06/2026,"Corporates 92%, NBFC 6.8%, Individuals 1.4%"
INE11RT07256,30/06/2026,"Individuals 80%, Corporates 20%"
INE121A07QM4,30/06/2026,"Insurance 61%, PF/Pension 28%, Corporates 7.4%, Banks 3.7%"
INE121A07RD1,30/06/2026,"Individuals 52%, Corporates 44%, Clearing members 3.5%, NRIs 0.2%"
INE121A07RM2,30/06/2026,"Insurance 42%, Trusts 26%, MF 13%, PF/Pension 8.1%, Individuals 7.6%, Corporates 4.2%"
INE121A07RT7,30/06/2026,"Insurance 57%, Corporates 37%, Trusts 2.9%, Individuals 2.7%, MF 0.8%"
INE121A07RV3,30/06/2026,"Insurance 32%, PF/Pension 21%, Banks 16%, MF 13%, Trusts 13%, Corporates 3.6%, others 2.1%"
INE121A07RX9,30/06/2026,"PF/Pension 43%, Insurance 35%, Banks 11%, Corporates 4.1%, Trusts 3%, MF 2.6%, others 0.8%"
INE121A07RY7,30/06/2026,"Insurance 61%, PF/Pension 18%, Trusts 11%, Banks 6.3%, Corporates 2%, MF 1.3%, others 0.9%"
INE121A07SB3,30/06/2026,"Insurance 45%, Corporates 27%, MF 25%, Trusts 3%"
INE121A07SG2,30/06/2026,"NBFC 46%, Insurance 21%, Corporates 18%, MF 10%, FPI 5%"
INE121A07SH0,30/06/2026,"Banks 45%, Insurance 24%, MF 15%, AIF 5.9%, Corporates 4.3%, FPI 3.9%, others 1.8%"
INE121A07SJ6,30/06/2026,"Insurance 73%, Trusts 25%, Banks 1.8%, Corporates 0.1%"
INE121A07SL2,30/06/2026,"Banks 43%, Insurance 25%, Corporates 17%, Trusts 9.1%, MF 4.8%, Govt 0.6%"
INE121A07SN8,30/06/2026,"Banks 65%, MF 14%, Insurance 9%, Corporates 7%, AIF 4.4%, Trusts 0.4%, others 0.2%"
INE121A07SS7,30/06/2026,"Insurance 38%, Banks 34%, Corporates 14%, PF/Pension 8.5%, MF 6.2%"
INE121A07SU3,30/06/2026,"MF 82%, Banks 18%, Insurance 1%"
INE121A08OQ8,30/06/2026,"Trusts 43%, Corporates 33%, Individuals 23%"
INE121A08PB7,30/06/2026,"Trusts 52%, Individuals 32%, Corporates 16%, NRIs 0.2%"
INE121A08PF8,30/06/2026,"Trusts 29%, Insurance 29%, Corporates 23%, Individuals 19%"
INE121A08PH4,30/06/2026,"Corporates 66%, Trusts 24%, Individuals 7%, NRIs 3.2%"
INE121A08PJ0,30/06/2026,MF 100%
INE121A08PP7,30/06/2026,"MF 63%, Insurance 24%, Corporates 5.4%, Trusts 2.7%, Banks 2.6%, Govt 2.6%, others 0.7%"
INE121A08PQ5,30/06/2026,"Corporates 67%, Trusts 21%, Individuals 8.6%, Banks 2.6%, NRIs 0.1%, Clearing members 0.1%"
INE121A08PR3,30/06/2026,"Insurance 38%, MF 30%, Trusts 19%, Corporates 11%, Govt 1.2%, Individuals 0.7%"
INE121A08PS1,30/06/2026,"Insurance 49%, PF/Pension 19%, Trusts 15%, Banks 10%, MF 5%, Corporates 2%, others 0.1%"
INE121A08PT9,30/06/2026,"MF 64%, Insurance 25%, FPI 10%, Trusts 1.1%"
INE121A08PU7,30/06/2026,"MF 72%, Insurance 15%, PF/Pension 11%, Corporates 2%"
INE121A08PV5,30/06/2026,"Insurance 55%, MF 30%, Trusts 10%, Corporates 3.3%, Individuals 1.2%"
INE121A08PX1,30/06/2026,"Trusts 44%, Insurance 33%, Banks 21%, Corporates 1.3%, Individuals 0.8%"
INE121A08PY9,30/06/2026,"MF 46%, Banks 33%, Trusts 13%, Insurance 5%, PF/Pension 2.5%, Individuals 0.1%"
INE121A08PZ6,30/06/2026,"Banks 85%, MF 11%, PF/Pension 2.5%, Insurance 1.2%, Corporates 0.4%"
INE121E08039,30/06/2026,"Banks 54%, MF 36%, Insurance 11%"
INE121E08047,30/06/2026,MF 100%
INE121E08070,30/06/2026,"Insurance 50%, MF 40%, Corporates 10%"
INE124N07697,30/06/2026,"Corporates 43%, MF 37%, Banks 6.7%, Insurance 6.7%, Trusts 4%, Individuals 2.7%"
INE124N07721,30/06/2026,"Corporates 57%, MF 36%, Individuals 6.8%"
INE124N07739,30/06/2026,MF 100%
INE124N07747,30/06/2026,"Corporates 47%, MF 35%, Banks 8%, Individuals 6.5%, AIF 3.3%, Trusts 0.2%"
INE124N07754,30/06/2026,MF 100%
INE124N07762,30/06/2026,"MF 65%, Banks 18%, Corporates 11%, Insurance 3.3%, NRIs 1.7%, AIF 0.7%, others 0.4%"
INE124N07796,30/06/2026,Corporates 100%
INE125T07311,30/06/2026,"Individuals 38%, Corporates 37%, Trusts 22%, NRIs 2.2%"
INE127K08017,30/06/2026,"MF 88%, Banks 12%"
INE128M08086,30/06/2026,"Banks 78%, Corporates 18%, MF 3.5%"
INE128M08094,30/06/2026,"MF 43%, Corporates 36%, PF/Pension 15%, Insurance 6.6%"
INE129A08014,30/06/2026,"Corporates 57%, MF 18%, Banks 13%, PF/Pension 10%, Trusts 0.8%"
INE12FD07014,30/06/2026,"Individuals 60%, Corporates 40%"
INE12VA07579,30/06/2026,"Individuals 53%, Corporates 47%"
INE12VA07751,30/06/2026,"Corporates 79%, Individuals 19%, NRIs 2%"
INE12VA07983,30/06/2026,"Corporates 82%, Individuals 18%"
INE12VA07AB5,30/06/2026,"Individuals 54%, NBFC 44%, Corporates 2.5%"
INE12VA07AF6,30/06/2026,Corporates 100%
INE12VA07AH2,30/06/2026,Corporates 100%
INE12VA07AI0,30/06/2026,"Corporates 100%, Individuals 0.3%"
INE12VA07AK6,30/06/2026,Corporates 100%
INE12VA07AL4,30/06/2026,Corporates 100%
INE12VA07AM2,30/06/2026,Corporates 100%
INE134E07430,30/06/2026,"Individuals 52%, Corporates 45%, NRIs 1.6%, Banks 0.8%, Insurance 0.5%, Trusts 0.4%, others 0.3%"
INE134E07455,30/06/2026,"Individuals 63%, Corporates 36%, NRIs 1.2%, Trusts 0.1%, Clearing members 0.1%"
INE134E07AN1,30/06/2026,"Trusts 34%, Govt 27%, Insurance 25%, Individuals 7.4%, Corporates 4.5%, MF 2%, others 0.4%"
INE134E07AP6,30/06/2026,"Corporates 58%, Insurance 16%, MF 11%, Banks 10%, Trusts 2.3%, Individuals 1.5%, others 0.9%"
INE134E07AT8,30/06/2026,"Trusts 48%, Insurance 20%, Individuals 16%, Corporates 11%, PF/Pension 3.1%, Banks 1.5%, others 0.4%"
INE134E08DU8,30/06/2026,"Insurance 50%, Trusts 25%, Govt 19%, PF/Pension 2.9%, MF 1.5%, Corporates 1.3%, others 0.2%"
INE134E08FL2,30/06/2026,"Insurance 63%, Trusts 13%, PF/Pension 13%, MF 5.6%, Govt 2.7%, Corporates 2.3%, others 0.1%"
INE134E08FQ1,30/06/2026,"Trusts 33%, Govt 30%, Insurance 20%, PF/Pension 10%, MF 3.2%, Corporates 1.9%, others 1%"
INE134E08GH8,30/06/2026,"Trusts 65%, Insurance 16%, MF 7.5%, Govt 3.5%, PF/Pension 3%, Banks 2.8%, others 2.4%"
INE134E08II2,30/06/2026,"Trusts 29%, MF 21%, PF/Pension 18%, Insurance 17%, Govt 6%, FPI 4.5%, others 4.9%"
INE134E08IK8,30/06/2026,"MF 55%, Trusts 19%, Insurance 14%, PF/Pension 12%"
INE134E08IO0,30/06/2026,"Govt 69%, MF 11%, Insurance 8.8%, PF/Pension 4.7%, Trusts 3.5%, Banks 2.1%, others 0.8%"
INE134E08IP7,30/06/2026,"Insurance 61%, Trusts 17%, MF 16%, PF/Pension 5%, AIF 0.8%, Individuals 0.1%"
INE134E08IR3,30/06/2026,"MF 33%, Insurance 27%, Govt 16%, PF/Pension 9%, Trusts 6.5%, Corporates 5.9%, others 3.7%"
INE134E08IT9,30/06/2026,"MF 32%, Insurance 29%, Govt 14%, PF/Pension 13%, Trusts 10%, Corporates 0.8%"
INE134E08IX1,30/06/2026,"MF 41%, Insurance 16%, Trusts 15%, PF/Pension 14%, Govt 12%, Corporates 1.1%"
INE134E08JC3,30/06/2026,"Trusts 38%, MF 38%, Insurance 10%, PF/Pension 5.6%, Banks 5.5%, Corporates 3.6%"
INE134E08JE9,30/06/2026,"Govt 68%, MF 16%, Trusts 8.8%, Banks 6.8%, Insurance 0.4%"
INE134E08JG4,30/06/2026,"Govt 75%, Trusts 13%, PF/Pension 5.1%, MF 3.7%, Insurance 2.8%"
INE134E08JI0,30/06/2026,"MF 44%, Insurance 21%, Trusts 14%, PF/Pension 7.6%, Govt 4.7%, Banks 4.1%, others 4.1%"
INE134E08JP5,30/06/2026,"Trusts 41%, Insurance 20%, PF/Pension 17%, MF 7.8%, Banks 6.7%, Corporates 3.9%, others 3.1%"
INE134E08JQ3,30/06/2026,"Govt 90%, Trusts 7.3%, Corporates 1.2%, Insurance 1.1%, PF/Pension 0.2%, MF 0.2%, others 0.1%"
INE134E08JR1,30/06/2026,"Trusts 56%, PF/Pension 34%, Insurance 5.5%, Govt 3.6%, Corporates 0.2%, Individuals 0.1%, others 0.1%"
INE134E08JX9,30/06/2026,"Trusts 78%, MF 7.8%, Insurance 5.1%, Govt 4%, Corporates 3.2%, Banks 1.1%, others 1%"
INE134E08JZ4,30/06/2026,"Trusts 84%, Insurance 5%, Banks 4.3%, PF/Pension 2.8%, Govt 2%, Corporates 1.1%, others 1.1%"
INE134E08KC1,30/06/2026,"Trusts 28%, Corporates 21%, Insurance 20%, MF 15%, Banks 13%, Govt 1.6%, others 1.6%"
INE134E08KK4,30/06/2026,"MF 51%, Corporates 17%, Insurance 10%, Govt 10%, Trusts 6.6%, PF/Pension 4.2%, others 0.6%"
INE134E08KL2,30/06/2026,"MF 28%, Govt 22%, Trusts 16%, Corporates 13%, Insurance 11%, Banks 7.6%, others 2.1%"
INE134E08KQ1,30/06/2026,"Govt 55%, Banks 22%, Trusts 10%, Insurance 5%, MF 4%, Corporates 3.7%, others 0.9%"
INE134E08KU3,30/06/2026,"Insurance 32%, Trusts 32%, Corporates 17%, Banks 6.7%, PF/Pension 5.7%, Govt 4.3%, others 1.6%"
