isin,as_of,yield,source,holders
IN3120250656,2026-07-31,7.49,Kotak,Kotak (97)
IN3120250664,2026-06-30,7.5767,SBI,SBI
IN3120250664,2026-07-15,7.5579,SBI,SBI
IN3120250664,2026-07-31,7.5693,SBI,SBI (25)
IN3120250698,2026-06-30,7.45,Kotak,Kotak
IN3120250698,2026-07-31,7.37,Kotak,Kotak (367)
IN3120250698,2026-08-15,7.39,Kotak,Kotak (367)
IN3120250706,2026-06-30,7.58,Kotak,Kotak
IN3120250706,2026-07-31,7.57,Kotak,Kotak (344)
IN3120250706,2026-08-15,7.54,Kotak,Kotak (344)
IN3120250714,2026-06-30,7.6332,Axis,Axis
IN3120250722,2026-06-30,7.2675,Nippon,Nippon; Kotak
IN3120250722,2026-07-15,7.2985,Nippon,Nippon
IN3120250722,2026-07-31,7.2476,Nippon,Nippon (200)
IN3120250722,2026-08-15,7.2132,Nippon,Nippon (200)
IN3120250730,2026-06-30,6.8543,Axis,Axis; Kotak
IN3120250730,2026-07-31,6.9337,Axis,Axis (325); Kotak (449)
IN3120250730,2026-08-15,6.8174,Axis,Axis (326); Kotak (450)
IN3120250797,2026-08-15,6.8132,Axis,Axis (310)
IN3120250847,2026-06-30,7.5352,Aditya Birla,Aditya Birla; Axis
IN3120250847,2026-07-31,7.498,Aditya Birla,Aditya Birla (25)
IN3120250854,2026-06-30,7.638,SBI,SBI; Axis; UTI
IN3120250854,2026-07-15,7.6639,SBI,SBI
IN3120250854,2026-07-31,7.6121,SBI,SBI (4); Axis (3); UTI (10)
IN3120250854,2026-08-15,7.5474,SBI,SBI (4); Axis (3)
IN3120250862,2026-06-30,7.1277,SBI,SBI; Aditya Birla
IN3120250862,2026-07-15,7.1465,SBI,SBI
IN3120250862,2026-07-31,7.1123,SBI,SBI (25)
IN3120250862,2026-08-15,7.0863,SBI,SBI (25)
IN3120260010,2026-06-30,7.2675,Nippon,Nippon
IN3120260010,2026-07-15,7.2985,Nippon,Nippon
IN3120260010,2026-07-31,7.2476,Nippon,Nippon (432)
IN3120260010,2026-08-15,7.2132,Nippon,Nippon (153)
IN3120260028,2026-06-30,7.5734,SBI,SBI
IN3120260028,2026-07-15,7.56,HDFC,HDFC; SBI
IN3120260028,2026-07-31,7.57,HDFC,HDFC (77); SBI (204); Kotak (26)
IN3120260028,2026-08-15,7.5345,SBI,SBI (51); Kotak (26)
IN3120260044,2026-06-30,7.45,ICICI Pru,ICICI Pru; Kotak
IN3120260044,2026-07-15,7.42,ICICI Pru,ICICI Pru
IN3120260044,2026-07-31,7.37,ICICI Pru,ICICI Pru (154); Kotak (740)
IN3120260044,2026-08-15,7.39,ICICI Pru,ICICI Pru (153)
IN3120260051,2026-06-30,7.5991,SBI,SBI
IN3120260051,2026-07-15,7.5579,SBI,SBI
IN3120260051,2026-07-31,7.5693,SBI,"SBI (1,646); Kotak (15)"
IN3120260051,2026-08-15,7.5465,SBI,"SBI (1,648); Kotak (15)"
IN3120260069,2026-06-30,7.71,Kotak,Kotak
IN3120260069,2026-07-31,7.7,Kotak,Kotak (255)
IN3120260069,2026-08-15,7.65,Kotak,Kotak (246)
IN3120260077,2026-07-31,7.49,HDFC,HDFC (75); Tata (26)
IN3120260077,2026-08-15,7.33,Tata,Tata (26)
IN3120260085,2026-07-31,7.7,HDFC,HDFC (50)
IN3320140129,2026-06-30,5.7832,Aditya Birla,Aditya Birla
IN3320140129,2026-07-31,5.6906,Aditya Birla,Aditya Birla (4)
IN3320140210,2026-07-15,6.6251,Nippon,Nippon
IN3320140210,2026-07-31,6.6193,Nippon,Nippon (23)
IN3320140210,2026-08-15,6.5807,Nippon,Nippon (23)
IN3320150110,2026-06-30,5.7832,Aditya Birla,Aditya Birla
IN3320150110,2026-07-31,5.6906,Aditya Birla,Aditya Birla (3)
IN3320150128,2026-06-30,6.6835,Aditya Birla,Aditya Birla
IN3320150128,2026-07-31,6.6193,Aditya Birla,Aditya Birla (0)
IN3320150607,2026-06-30,6.9034,Nippon,Nippon
IN3320150607,2026-07-15,6.9323,Nippon,Nippon
IN3320150607,2026-07-31,6.9499,Nippon,Nippon (0)
IN3320150607,2026-08-15,6.7947,Nippon,Nippon (0)
IN3320150714,2026-06-30,6.0,HDFC,HDFC; Aditya Birla
IN3320150714,2026-07-15,6.08,HDFC,HDFC
IN3320150714,2026-07-31,6.04,HDFC,HDFC (10); Aditya Birla (1)
IN3320160127,2026-06-30,6.9277,Nippon,Nippon
IN3320160127,2026-07-15,6.9551,Nippon,Nippon
IN3320160127,2026-07-31,6.9554,Nippon,Nippon (2)
IN3320160127,2026-08-15,6.8093,Nippon,Nippon (2)
IN3320160184,2026-06-30,5.3703,SBI,SBI; Aditya Birla
IN3320160192,2026-06-30,5.3703,SBI,SBI; Axis; Nippon
IN3320160192,2026-07-15,5.3952,SBI,SBI; Nippon
IN3320160200,2026-06-30,5.46,HDFC,HDFC; SBI; Aditya Birla; Nippon
IN3320160200,2026-07-15,5.46,HDFC,HDFC; SBI; Nippon
IN3320160200,2026-07-31,5.35,HDFC,HDFC (2); SBI (90); Aditya Birla (5); Nippon (10)
IN3320160218,2026-06-30,5.4584,SBI,SBI; ICICI Pru; Aditya Birla
IN3320160218,2026-07-15,5.4584,SBI,SBI; ICICI Pru
IN3320160218,2026-07-31,5.3511,SBI,SBI (46); ICICI Pru (5); Aditya Birla (23)
IN3320160218,2026-08-15,5.2611,SBI,SBI (46); ICICI Pru (5)
IN3320160226,2026-06-30,5.4873,SBI,SBI; Aditya Birla
IN3320160226,2026-07-15,5.4961,SBI,SBI
IN3320160226,2026-07-31,5.3735,SBI,SBI (71); Aditya Birla (32)
IN3320160226,2026-08-15,5.3092,SBI,SBI (71)
IN3320160234,2026-06-30,5.49,HDFC,HDFC; SBI; Aditya Birla
IN3320160234,2026-07-15,5.5,HDFC,HDFC; SBI
IN3320160234,2026-07-31,5.37,HDFC,HDFC (0); SBI (72); Aditya Birla (55)
IN3320160234,2026-08-15,5.3092,SBI,SBI (72); ICICI Pru (5); Axis (5)
IN3320160242,2026-06-30,5.64,HDFC,HDFC
IN3320160242,2026-07-15,5.66,HDFC,HDFC
IN3320160242,2026-07-31,5.54,HDFC,HDFC (5)
IN3320160259,2026-06-30,5.64,HDFC,HDFC; Aditya Birla
IN3320160259,2026-07-15,5.66,HDFC,HDFC
IN3320160259,2026-07-31,5.54,HDFC,HDFC (20); Aditya Birla (50)
IN3320160267,2026-06-30,5.6734,SBI,SBI; Nippon
IN3320160267,2026-07-15,5.74,HDFC,HDFC; SBI; ICICI Pru
IN3320160267,2026-07-31,5.61,HDFC,HDFC (24); SBI (25); ICICI Pru (50)
IN3320160267,2026-08-15,5.5155,SBI,SBI (25); ICICI Pru (50); Nippon (50)
IN3320160275,2026-06-30,5.6634,Aditya Birla,Aditya Birla
IN3320160275,2026-07-31,5.5957,Aditya Birla,Aditya Birla (50)
IN3320160283,2026-07-15,5.7301,Nippon,Nippon
IN3320160283,2026-07-31,5.5957,Nippon,Nippon (5)
IN3320160283,2026-08-15,5.5055,Nippon,Nippon (5)
IN3320160291,2026-06-30,5.8104,SBI,SBI; Aditya Birla
IN3320160291,2026-07-15,5.8581,SBI,SBI; Nippon
IN3320160291,2026-07-31,5.8155,SBI,SBI (25); Aditya Birla (35); Nippon (5)
IN3320160291,2026-08-15,5.8331,SBI,SBI (25); Nippon (5)
IN3320160309,2026-06-30,5.81,HDFC,HDFC; Aditya Birla; Nippon
IN3320160309,2026-07-15,5.94,HDFC,HDFC; Nippon
IN3320160309,2026-07-31,5.82,HDFC,HDFC (1); Aditya Birla (206); Nippon (35)
IN3320160309,2026-08-15,5.8331,Nippon,Nippon (35)
IN3320160317,2026-06-30,5.831,Aditya Birla,Aditya Birla; Nippon
IN3320160317,2026-07-15,5.9387,Nippon,Nippon
IN3320160317,2026-07-31,5.9053,Aditya Birla,Aditya Birla (151); Axis (91); Nippon (25)
IN3320160317,2026-08-15,5.8731,Axis,Axis (91); Nippon (25)
IN3320160325,2026-06-30,5.86,HDFC,HDFC
IN3320160325,2026-07-15,5.94,HDFC,HDFC
IN3320160325,2026-07-31,5.91,HDFC,HDFC (5)
IN3320160341,2026-06-30,5.86,HDFC,HDFC; Aditya Birla; Axis; Nippon
IN3320160341,2026-07-15,5.94,HDFC,HDFC; Nippon
IN3320160341,2026-07-31,5.91,HDFC,HDFC (2); Aditya Birla (1); Axis (5); Nippon (10)
IN3320160341,2026-08-15,5.9542,Axis,Axis (5); Nippon (10)
IN3320160358,2026-06-30,5.8567,Aditya Birla,Aditya Birla; Axis; UTI
IN3320160358,2026-07-31,5.9053,Aditya Birla,Aditya Birla (31); Axis (5); UTI (10)
IN3320160358,2026-08-15,5.9542,Axis,Axis (5)
IN3320170019,2026-06-30,6.0063,Axis,Axis; Nippon
IN3320170019,2026-07-15,5.9978,Nippon,Nippon
IN3320170019,2026-07-31,6.0569,Nippon,Nippon (54)
IN3320170019,2026-08-15,5.9901,Nippon,Nippon (54)
IN3320170027,2026-06-30,6.0063,Axis,Axis
IN3320170027,2026-07-31,6.0569,Aditya Birla,Aditya Birla (10)
IN3320170035,2026-06-30,6.0115,Aditya Birla,Aditya Birla; Axis; UTI
IN3320170035,2026-07-31,6.0775,Aditya Birla,Aditya Birla (1); Axis (10); UTI (1)
IN3320170035,2026-08-15,5.9952,Axis,Axis (10)
IN3320170043,2026-06-30,6.0115,SBI,SBI; Axis
IN3320170043,2026-07-15,6.0287,SBI,SBI
IN3320170043,2026-07-31,6.0775,SBI,SBI (339); Axis (66)
IN3320170043,2026-08-15,5.9952,SBI,SBI (339); Axis (66)
IN3320170050,2026-06-30,6.43,ICICI Pru,ICICI Pru
IN3320170050,2026-07-15,6.38,ICICI Pru,ICICI Pru
IN3320170050,2026-07-31,6.3,ICICI Pru,ICICI Pru (143)
IN3320170050,2026-08-15,6.12,ICICI Pru,ICICI Pru (144)
IN3320170068,2026-06-30,6.4335,SBI,SBI; ICICI Pru
IN3320170068,2026-07-15,6.381,SBI,SBI; ICICI Pru
IN3320170068,2026-07-31,6.3036,SBI,SBI (10); ICICI Pru (50)
IN3320170068,2026-08-15,6.1184,SBI,SBI (10); ICICI Pru (51)
IN3320170084,2026-06-30,6.43,ICICI Pru,ICICI Pru
IN3320170084,2026-07-15,6.41,ICICI Pru,ICICI Pru
IN3320170084,2026-07-31,6.37,ICICI Pru,ICICI Pru (34)
IN3320170084,2026-08-15,6.14,ICICI Pru,ICICI Pru (34)
IN3320170092,2026-06-30,6.43,ICICI Pru,ICICI Pru
IN3320170092,2026-07-15,6.41,ICICI Pru,ICICI Pru
IN3320170092,2026-07-31,6.37,ICICI Pru,ICICI Pru (269)
IN3320170092,2026-08-15,6.28,ICICI Pru,ICICI Pru (269)
IN3320170100,2026-06-30,6.43,ICICI Pru,ICICI Pru
IN3320170100,2026-07-15,6.41,ICICI Pru,ICICI Pru
IN3320170100,2026-07-31,6.37,ICICI Pru,ICICI Pru (244)
IN3320170100,2026-08-15,6.28,ICICI Pru,ICICI Pru (244)
IN3320170126,2026-06-30,6.54,ICICI Pru,ICICI Pru
IN3320170126,2026-07-15,6.48,ICICI Pru,ICICI Pru
IN3320170126,2026-07-31,6.47,ICICI Pru,ICICI Pru (5)
IN3320170126,2026-08-15,6.42,ICICI Pru,ICICI Pru (5)
IN3320170142,2026-07-31,6.37,Tata,Tata (25)
IN3320170142,2026-08-15,6.32,Tata,Tata (25)
IN3320170167,2026-07-31,6.37,Tata,Tata (39)
IN3320170167,2026-08-15,6.32,Tata,Tata (39)
IN3320170175,2026-06-30,6.76,HDFC,HDFC
IN3320170175,2026-07-15,6.79,HDFC,HDFC
IN3320170175,2026-07-31,6.83,HDFC,HDFC (5)
IN3320170191,2026-06-30,6.7687,Aditya Birla,Aditya Birla
IN3320170191,2026-07-31,6.8384,Aditya Birla,Aditya Birla (5)
IN3320170217,2026-06-30,6.7687,Aditya Birla,Aditya Birla
IN3320170217,2026-07-31,6.8384,Aditya Birla,Aditya Birla (1)
IN3320180018,2026-06-30,6.67,UTI,UTI
IN3320180018,2026-07-31,6.7,UTI,UTI (9)
IN3320180026,2026-06-30,6.793,Nippon,Nippon; Kotak
IN3320180026,2026-07-15,6.8203,Nippon,Nippon
IN3320180026,2026-07-31,6.8206,Nippon,Nippon (6); Kotak (11)
IN3320180026,2026-08-15,6.6747,Nippon,Nippon (6); Kotak (11)
IN3320180034,2026-06-30,6.793,Nippon,Nippon
IN3320180034,2026-07-15,6.8203,Nippon,Nippon
IN3320180034,2026-07-31,6.8206,Nippon,Nippon (0)
IN3320180034,2026-08-15,6.6747,Nippon,Nippon (0)
IN3320180042,2026-06-30,6.88,ICICI Pru,ICICI Pru
IN3320180042,2026-07-15,6.91,ICICI Pru,ICICI Pru
IN3320180042,2026-07-31,6.88,ICICI Pru,ICICI Pru (52)
IN3320180042,2026-08-15,6.84,ICICI Pru,ICICI Pru (52)
IN3320180059,2026-06-30,6.88,ICICI Pru,ICICI Pru
IN3320180059,2026-07-15,6.91,ICICI Pru,ICICI Pru
IN3320180059,2026-07-31,6.88,ICICI Pru,ICICI Pru (8)
IN3320180059,2026-08-15,6.84,ICICI Pru,ICICI Pru (8)
IN3320180067,2026-06-30,6.88,ICICI Pru,ICICI Pru; Aditya Birla
IN3320180067,2026-07-15,6.91,ICICI Pru,ICICI Pru
IN3320180067,2026-07-31,6.88,ICICI Pru,ICICI Pru (10); Aditya Birla (0)
IN3320180067,2026-08-15,6.84,ICICI Pru,ICICI Pru (10)
IN3320180083,2026-06-30,6.88,ICICI Pru,ICICI Pru
IN3320180083,2026-07-15,6.91,ICICI Pru,ICICI Pru
IN3320180083,2026-07-31,6.88,ICICI Pru,ICICI Pru (1)
IN3320180083,2026-08-15,6.84,ICICI Pru,ICICI Pru (1)
IN3320180091,2026-06-30,6.88,ICICI Pru,ICICI Pru
IN3320180091,2026-07-15,6.91,ICICI Pru,ICICI Pru
IN3320180091,2026-07-31,6.88,ICICI Pru,ICICI Pru (15)
IN3320180091,2026-08-15,6.84,ICICI Pru,ICICI Pru (15)
IN3320180117,2026-06-30,6.9399,Aditya Birla,Aditya Birla
IN3320180117,2026-07-31,7.0346,Aditya Birla,Aditya Birla (57)
IN3320180125,2026-06-30,6.9399,Nippon,Nippon
IN3320180125,2026-07-15,6.9884,Nippon,Nippon
IN3320180125,2026-07-31,7.0346,Nippon,Nippon (0)
IN3320180125,2026-08-15,6.9182,Nippon,Nippon (0)
IN3320180141,2026-06-30,6.9399,Nippon,Nippon
IN3320180141,2026-07-15,6.9884,Nippon,Nippon
IN3320180141,2026-07-31,7.0346,Nippon,Nippon (2)
IN3320180141,2026-08-15,6.9182,Nippon,Nippon (2)
IN3320180158,2026-06-30,6.94,ICICI Pru,ICICI Pru; Nippon
IN3320180158,2026-07-15,6.99,ICICI Pru,ICICI Pru; Nippon
IN3320180158,2026-07-31,7.03,ICICI Pru,ICICI Pru (15); Nippon (77)
IN3320180158,2026-08-15,6.92,ICICI Pru,ICICI Pru (16); Nippon (78)
IN3320180166,2026-06-30,6.94,ICICI Pru,ICICI Pru
IN3320180166,2026-07-15,6.99,ICICI Pru,ICICI Pru
IN3320180166,2026-07-31,7.03,ICICI Pru,ICICI Pru (10)
IN3320180166,2026-08-15,6.92,ICICI Pru,ICICI Pru (10)
IN3320180174,2026-06-30,6.94,ICICI Pru,ICICI Pru; Aditya Birla; Nippon
IN3320180174,2026-07-15,6.99,ICICI Pru,ICICI Pru; Nippon
IN3320180174,2026-07-31,7.03,ICICI Pru,ICICI Pru (67); Aditya Birla (1); Nippon (80)
IN3320180174,2026-08-15,6.92,ICICI Pru,ICICI Pru (67); Nippon (80)
IN3320180182,2026-06-30,6.9399,SBI,SBI; ICICI Pru
IN3320180182,2026-07-15,6.9884,SBI,SBI; ICICI Pru
IN3320180182,2026-07-31,7.0346,SBI,SBI (10); ICICI Pru (10)
IN3320180182,2026-08-15,6.9182,SBI,SBI (10); ICICI Pru (10)
IN3320190157,2026-07-31,7.0619,SBI,SBI (5)
IN3320190157,2026-08-15,6.9568,SBI,SBI (5)
IN3320190173,2026-06-30,7.0543,Nippon,Nippon
IN3320190173,2026-07-15,7.1435,Nippon,Nippon
IN3320190173,2026-07-31,7.0919,Nippon,Nippon (30)
IN3320190173,2026-08-15,7.0003,Nippon,Nippon (30)
IN3320190231,2026-06-30,7.0543,Nippon,Nippon
IN3320190231,2026-07-15,7.1435,Nippon,Nippon
IN3320190231,2026-07-31,7.0919,Nippon,Nippon (25)
IN3320190231,2026-08-15,7.0003,Nippon,Nippon (25)
IN3320190249,2026-06-30,7.0543,Nippon,Nippon
IN3320190249,2026-07-15,7.1435,Nippon,Nippon
IN3320190249,2026-07-31,7.0919,Nippon,Nippon (40)
IN3320190249,2026-08-15,7.0003,Nippon,Nippon (40)
IN3320190272,2026-06-30,7.0543,Nippon,Nippon
IN3320190272,2026-07-15,7.1435,Nippon,Nippon
IN3320190272,2026-07-31,7.0919,Nippon,Nippon (77)
IN3320190272,2026-08-15,7.0003,Nippon,Nippon (77)
IN3320200014,2026-06-30,7.0875,Aditya Birla,Aditya Birla
IN3320200014,2026-07-31,7.1177,Aditya Birla,Aditya Birla (1)
IN3320200105,2026-06-30,7.0773,Nippon,Nippon
IN3320200105,2026-07-15,7.1679,Nippon,Nippon
IN3320200105,2026-07-31,7.1163,Nippon,Nippon (15)
IN3320200105,2026-08-15,7.0115,Nippon,Nippon (15)
IN3320200121,2026-06-30,7.0817,Nippon,Nippon
IN3320200121,2026-07-15,7.1769,Nippon,Nippon
IN3320200121,2026-07-31,7.1244,Nippon,Nippon (15)
IN3320200121,2026-08-15,7.019,Nippon,Nippon (15)
IN3320200212,2026-06-30,7.08,Kotak,Kotak
IN3320200212,2026-07-31,7.12,Kotak,Kotak (1)
IN3320200212,2026-08-15,7.02,Kotak,Kotak (1)
IN3320200295,2026-06-30,7.2007,Nippon,Nippon
IN3320200295,2026-07-15,7.2292,Nippon,Nippon
IN3320200295,2026-07-31,7.1787,Nippon,Nippon (5)
IN3320200295,2026-08-15,7.1468,Nippon,Nippon (5)
IN3320210096,2026-06-30,7.2318,Nippon,Nippon
IN3320210096,2026-07-15,7.2401,Nippon,Nippon
IN3320210096,2026-07-31,7.1972,Nippon,Nippon (10)
IN3320210096,2026-08-15,7.1432,Nippon,Nippon (10)
IN3320220012,2026-06-30,7.3659,Aditya Birla,Aditya Birla
IN3320220012,2026-07-31,7.3244,Aditya Birla,Aditya Birla (1)
IN3320220053,2026-06-30,7.65,Kotak,Kotak
IN3320220053,2026-07-31,7.63,Kotak,Kotak (3)
IN3320220053,2026-08-15,7.59,Kotak,Kotak (3)
IN3320220152,2026-06-30,7.51,UTI,UTI
IN3320220152,2026-07-31,7.49,UTI,UTI (25)
IN3320220160,2026-06-30,7.5798,Aditya Birla,Aditya Birla
IN3320220160,2026-07-31,7.5714,Aditya Birla,Aditya Birla (20)
IN3320220186,2026-06-30,7.4869,Aditya Birla,Aditya Birla; UTI
IN3320220186,2026-07-31,7.427,Aditya Birla,Aditya Birla (0); UTI (6)
IN3320220194,2026-06-30,7.5383,Aditya Birla,Aditya Birla
IN3320220194,2026-07-31,7.5445,Aditya Birla,Aditya Birla (1)
IN3320230102,2026-06-30,7.5383,Axis,Axis
IN3320230102,2026-07-31,7.5445,Axis,Axis (5)
IN3320230102,2026-08-15,7.5044,Axis,Axis (5)
IN3320230169,2026-06-30,7.5798,Aditya Birla,Aditya Birla
IN3320230169,2026-07-31,7.5714,Aditya Birla,Aditya Birla (0)
IN3320230250,2026-06-30,7.5604,Aditya Birla,Aditya Birla
IN3320230250,2026-07-31,7.5445,Aditya Birla,Aditya Birla (15)
IN3320230318,2026-06-30,7.61,HDFC,HDFC; Aditya Birla; UTI
IN3320230318,2026-07-15,7.63,HDFC,HDFC
IN3320230318,2026-07-31,7.62,HDFC,HDFC (15); Aditya Birla (0); UTI (34)
IN3320230367,2026-06-30,7.6147,Aditya Birla,Aditya Birla
IN3320230367,2026-07-31,7.6211,Aditya Birla,Aditya Birla (2)
IN3320230375,2026-06-30,7.6863,Aditya Birla,Aditya Birla
IN3320230375,2026-07-31,7.6488,Aditya Birla,Aditya Birla (3)
IN3320230391,2026-06-30,7.7013,Aditya Birla,Aditya Birla
IN3320230391,2026-07-31,7.7267,Aditya Birla,Aditya Birla (2)
IN3320240077,2026-06-30,7.6839,Aditya Birla,Aditya Birla
IN3320240077,2026-07-31,7.7138,Aditya Birla,Aditya Birla (5)
IN3320250050,2026-06-30,7.52,ICICI Pru,ICICI Pru
IN3320250050,2026-07-15,7.53,ICICI Pru,ICICI Pru
IN3320250050,2026-07-31,7.42,ICICI Pru,ICICI Pru (446)
IN3320250050,2026-08-15,7.43,ICICI Pru,ICICI Pru (445)
IN3320250092,2026-06-30,7.61,ICICI Pru,ICICI Pru
IN3320250092,2026-07-15,7.63,ICICI Pru,ICICI Pru
IN3320250092,2026-07-31,7.62,ICICI Pru,ICICI Pru (74)
IN3320250092,2026-08-15,7.58,ICICI Pru,ICICI Pru (74)
IN3320250118,2026-06-30,7.58,ICICI Pru,ICICI Pru
IN3320250118,2026-07-15,7.53,ICICI Pru,ICICI Pru
IN3320250118,2026-07-31,7.57,ICICI Pru,ICICI Pru (54)
IN3320250118,2026-08-15,7.56,ICICI Pru,ICICI Pru (54)
IN3320250126,2026-06-30,7.61,ICICI Pru,ICICI Pru
IN3320250126,2026-07-15,7.63,ICICI Pru,ICICI Pru
IN3320250126,2026-07-31,7.62,ICICI Pru,ICICI Pru (14)
IN3320250126,2026-08-15,7.58,ICICI Pru,ICICI Pru (14)
IN3320250183,2026-06-30,7.48,UTI,UTI
IN3320250183,2026-07-31,7.48,UTI,UTI (25)
IN3320250191,2026-06-30,7.6492,Nippon,Nippon
IN3320250191,2026-07-15,7.6614,Nippon,Nippon
IN3320250191,2026-07-31,7.6406,Aditya Birla,Aditya Birla (101); Nippon (30)
IN3320250191,2026-08-15,7.5889,Nippon,Nippon (30)
IN3320250209,2026-06-30,7.59,UTI,UTI
IN3320250209,2026-07-31,7.58,UTI,UTI (15)
IN3320250217,2026-06-30,7.59,UTI,UTI
IN3320250217,2026-07-31,7.58,UTI,UTI (13)
IN3320250225,2026-06-30,7.7709,Aditya Birla,Aditya Birla
IN3320250225,2026-07-31,7.8246,Aditya Birla,Aditya Birla (1)
IN3320250233,2026-06-30,7.73,Kotak,Kotak
IN3320250233,2026-07-31,7.73,Kotak,Kotak (271)
IN3320250233,2026-08-15,7.7,Kotak,Kotak (241)
IN3320250266,2026-06-30,7.63,UTI,UTI
IN3320250266,2026-07-31,7.68,UTI,UTI (31)
IN3320250282,2026-06-30,7.802,Aditya Birla,Aditya Birla
IN3320250282,2026-07-31,7.8677,Aditya Birla,Aditya Birla (57)
IN3320260026,2026-06-30,7.5991,SBI,SBI; Aditya Birla
IN3320260026,2026-07-15,7.6284,SBI,SBI
IN3320260026,2026-07-31,7.6211,SBI,SBI (22)
IN3320260026,2026-08-15,7.5847,SBI,SBI (22)
IN3320260042,2026-06-30,7.7709,SBI,SBI
IN3320260042,2026-07-15,7.846,SBI,SBI
IN3320260042,2026-07-31,7.8246,SBI,SBI (25)
IN3320260042,2026-08-15,7.79,SBI,SBI (25)
IN3420160027,2026-06-30,5.3422,SBI,SBI
IN3420160035,2026-06-30,5.3422,SBI,SBI
IN3420160035,2026-07-15,5.3671,SBI,SBI
IN3420160043,2026-06-30,5.455,SBI,SBI
IN3420160043,2026-07-15,5.455,SBI,SBI
IN3420160043,2026-07-31,5.3478,SBI,SBI (203)
IN3420160050,2026-06-30,5.46,ICICI Pru,ICICI Pru
IN3420160050,2026-07-15,5.46,ICICI Pru,ICICI Pru
IN3420160050,2026-07-31,5.35,ICICI Pru,ICICI Pru (5)
IN3420160050,2026-08-15,5.26,ICICI Pru,ICICI Pru (5)
IN3420160068,2026-06-30,5.484,SBI,SBI
IN3420160068,2026-07-15,5.4927,SBI,SBI
IN3420160068,2026-07-31,5.3702,SBI,SBI (55)
IN3420160068,2026-08-15,5.3059,SBI,SBI (55)
IN3420160084,2026-06-30,5.6412,SBI,SBI
IN3420160084,2026-07-15,5.668,SBI,SBI
IN3420160084,2026-07-31,5.5486,SBI,SBI (66)
IN3420160084,2026-08-15,5.5053,SBI,SBI (66)
IN3420160092,2026-06-30,5.6712,Axis,Axis; Nippon
IN3420160092,2026-07-15,5.748,Nippon,Nippon
IN3420160092,2026-07-31,5.6136,Axis,Axis (107); Nippon (10)
IN3420160092,2026-08-15,5.5353,Axis,Axis (107); Nippon (10)
IN3420160100,2026-06-30,5.6612,Axis,Axis
IN3420160100,2026-07-31,5.6036,Axis,Axis (5)
IN3420160100,2026-08-15,5.5253,Axis,Axis (5)
IN3420160118,2026-06-30,5.6712,SBI,SBI; ICICI Pru; Aditya Birla
IN3420160118,2026-07-15,5.748,SBI,SBI; ICICI Pru
IN3420160118,2026-07-31,5.6636,SBI,SBI (1); ICICI Pru (67); Aditya Birla (20)
IN3420160118,2026-08-15,5.6002,SBI,SBI (1); ICICI Pru (67)
IN3420160126,2026-06-30,5.67,ICICI Pru,ICICI Pru; Aditya Birla
IN3420160126,2026-07-15,5.75,ICICI Pru,ICICI Pru
IN3420160126,2026-07-31,5.66,ICICI Pru,ICICI Pru (75); Aditya Birla (3); Nippon (52)
IN3420160126,2026-08-15,5.6,ICICI Pru,ICICI Pru (75); Nippon (52)
IN3420160134,2026-06-30,5.8276,Aditya Birla,Aditya Birla
IN3420160134,2026-07-15,5.8781,Nippon,Nippon
IN3420160134,2026-07-31,5.8355,Aditya Birla,Aditya Birla (35); Nippon (5)
IN3420160134,2026-08-15,5.8231,Nippon,Nippon (5)
IN3420160142,2026-06-30,5.83,ICICI Pru,ICICI Pru; Nippon
IN3420160142,2026-07-15,5.96,ICICI Pru,ICICI Pru; Nippon
IN3420160142,2026-07-31,5.84,ICICI Pru,ICICI Pru (50); Nippon (25)
IN3420160142,2026-08-15,5.82,ICICI Pru,ICICI Pru (50); Nippon (25)
IN3420160167,2026-06-30,5.8739,Axis,Axis; Nippon; Kotak; UTI
IN3420160167,2026-07-15,5.9593,Nippon,Nippon
IN3420160167,2026-07-31,5.9258,Axis,Axis (33); Nippon (61); Kotak (2); UTI (5)
IN3420160167,2026-08-15,5.9439,Axis,Axis (33); Nippon (61); Kotak (2)
IN3420160175,2026-06-30,5.8739,Axis,Axis; Nippon
IN3420160175,2026-07-15,5.9593,Nippon,Nippon
IN3420160175,2026-07-31,5.9258,Axis,Axis (119); Nippon (40)
IN3420160175,2026-08-15,5.9439,Axis,Axis (119); Nippon (40)
IN3420160183,2026-06-30,5.8739,Axis,Axis
IN3420160183,2026-07-31,5.9258,Axis,Axis (40)
IN3420160183,2026-08-15,5.9439,Axis,Axis (40)
IN3420170018,2026-06-30,6.02,ICICI Pru,ICICI Pru
IN3420170018,2026-07-15,6.05,ICICI Pru,ICICI Pru
IN3420170018,2026-07-31,6.1,ICICI Pru,ICICI Pru (25)
IN3420170018,2026-08-15,6.03,ICICI Pru,ICICI Pru (25)
IN3420170026,2026-06-30,6.46,ICICI Pru,ICICI Pru
IN3420170026,2026-07-15,6.37,ICICI Pru,ICICI Pru
IN3420170026,2026-07-31,6.29,ICICI Pru,ICICI Pru (10)
IN3420170026,2026-08-15,6.11,ICICI Pru,ICICI Pru (10)
IN3420170034,2026-06-30,6.46,ICICI Pru,ICICI Pru
IN3420170034,2026-07-15,6.37,ICICI Pru,ICICI Pru
IN3420170034,2026-07-31,6.29,ICICI Pru,ICICI Pru (20)
IN3420170034,2026-08-15,6.11,ICICI Pru,ICICI Pru (20)
IN3420170042,2026-06-30,6.46,ICICI Pru,ICICI Pru
